ticker,last_price,ret_1d,ret_5d,ret_20d,ytd,ma20,ma50,ma200,rsi14,volume_ratio,above_20ma,above_50ma,above_200ma,volume_ratio_zscore,sector_score
AVGO,422.52,0.012193652653617493,-0.0005677470583989042,0.34325228234237626,0.21801488470935126,390.9165,349.2134,339.0185,69.82,0.284,True,True,True,-0.28390499023898974,
LRCX,257.12,-0.002869736587342575,-0.03980881212452059,0.17707376049932377,0.3910518105342773,256.7605,237.0925,173.9468,43.98,0.349,True,True,True,-0.25032059716539407,
CEG,314.01,0.003226868260782778,0.0015309890224124434,0.15097867214868943,-0.1414858585395895,294.039,301.4089,326.5447,60.59,0.352,True,True,False,-0.248770548254305,
VXZ,54.63,-0.0076293946369859755,-0.019386071335593225,-0.07060220818928165,0.02649379584876077,55.8628,56.9615,56.1847,40.65,0.11,False,False,False,-0.3738078270821537,
ADI,395.6175,-0.01651299390589167,-0.00989192025424035,0.24275145199118264,0.44975605893771764,368.9254,342.9515,279.8694,69.69,0.274,True,True,True,-0.2890718199426199,
DX-Y.NYB,98.125,0.00045879045784325,-0.003908254267399713,-0.01904427474301995,-0.0029973397117823986,98.5838,98.9289,98.536,45.96,,False,False,False,,
CSCO,92.315,0.008907130507171956,0.03713066201388737,0.1682486251979156,0.22061051144961152,86.0798,81.4823,74.3721,78.99,0.358,True,True,True,-0.24567045043212696,
ODFL,207.075,-0.025208284668691072,-0.058664419628776665,0.04583331792041512,0.30262074004480266,213.1372,201.1339,165.5113,49.54,0.576,False,True,True,-0.13303356289299054,
CTAS,170.495,-0.02412575945682871,-0.030727680311789407,-0.02205461340753434,-0.07568627454224441,175.0577,183.5141,193.8176,37.01,0.282,False,False,False,-0.28493835617971575,
GILD,131.465,0.004776826792213917,0.008167197018825734,-0.059015174144703475,0.0872664291698233,135.5622,140.0759,125.6541,31.23,0.352,False,False,True,-0.248770548254305,
VRTX,424.48,-0.0067855160825307514,-0.013502515613227795,-0.03243596167379992,-0.06115496339078619,435.3045,453.5314,436.203,35.54,0.34,False,False,False,-0.25497074389866115,
MDLZ,61.09,-0.005696589875393343,0.06040617089684641,0.061696197090302274,0.1485352289145221,58.179,57.7602,58.4815,67.56,0.296,True,True,True,-0.2777047945946336,
PANW,182.39,0.017120187040138735,0.021563830224556435,0.1175172592781446,0.01683673052724277,171.798,163.8408,185.0389,71.63,0.346,True,True,False,-0.2518706460764831,
HYG,80.085,-0.003670044526317362,-0.004908104572375227,0.006598812744963434,0.007411265492081487,80.2938,79.746,78.8972,46.19,0.734,False,True,True,-0.05139765357563478,
TTD,24.395,0.03412464179604813,0.01773054470520563,0.10634926538962253,-0.3525743030736457,22.4917,23.8246,41.5952,64.49,0.606,True,True,False,-0.11753307378210019,
NFLX,92.6,-0.010789468322242257,0.001730809481709672,-0.06142311943087475,0.017694259238933974,97.6165,94.6896,104.1653,29.63,0.355,False,False,False,-0.24722049934321597,
CL=F,101.9,-0.030170345276030908,0.07944915125815899,-0.08642638793726665,0.7777390451570447,97.475,91.1816,68.9876,52.66,0.655,True,True,True,-0.09221560823431263,
ARM,214.855,0.02156232524435664,-0.08498361244637898,0.4409160676552455,0.8727010323455593,178.772,149.911,141.301,71.47,0.373,True,True,True,-0.23792020587668178,
XLK,162.13,0.016489058826410607,0.011921131241775074,0.19222000392493865,0.12495906608092389,151.6685,143.0952,140.7498,81.22,0.618,True,True,True,-0.11133287813774406,-0.01044570684181099
APP,461.985,0.03502851805589735,0.03054936881393444,0.19570616556661102,-0.2528383686777279,442.7558,439.2787,525.7482,62.06,0.366,True,True,False,-0.24153698666922285,
COST,1015.18,0.0006406546481001474,0.00398552951037523,0.00021672844088715948,0.18966280591098172,1003.665,996.9456,949.1355,67.97,0.386,True,True,True,-0.23120332726196263,
FAST,44.84,-0.002003119340676318,0.008702991130272508,-0.02637287453299464,0.12087867762574156,45.4518,45.4432,44.4121,45.84,0.313,False,False,True,-0.26892118409846244,
QQQ,675.1607,0.01111318093952507,0.016992077786082804,0.15416036122363286,0.10257699117725738,638.2465,612.3629,602.869,82.99,0.66,True,True,True,-0.08963219338249757,
ASML,1438.65,-0.00023625308210595275,-0.01091280465063349,0.09456387576006087,0.24052140246644949,1431.282,1398.9924,1112.3856,42.96,0.194,True,True,True,-0.33040645757166076,
META,612.41,0.0008171136636825338,-0.09276632658486328,0.06606195334804577,-0.05761852340347473,647.2405,630.2102,677.3898,43.92,0.875,False,False,False,0.02145464524554979,
ADBE,250.46,0.017716377497843938,0.02045308108917321,0.031039060603310187,-0.24854480681996938,242.5505,250.5128,314.2416,56.84,0.58,True,False,False,-0.1309668310115385,
HON,212.67,-0.007745083039834344,-0.002345545828657092,-0.07313139682927083,0.09110596445498409,223.967,229.9985,210.0678,23.2,0.243,False,False,True,-0.30508899202387324,
DDOG,142.1,0.07496787562661567,0.09746687358974349,0.18062483701328857,0.06227107397027698,123.8335,121.7347,138.0856,83.86,0.794,True,True,True,-0.020396675353854088,
MELI,1830.285,0.021005466378622106,-0.002689016358920049,0.06689809115710355,-0.07266297843653269,1813.4557,1763.1871,2092.633,49.78,0.62,True,True,False,-0.11029951219701804,
KHC,22.35,-0.013680470786842758,0.018687321669644597,-0.019306736129081736,-0.06825919325613194,22.472,22.7818,24.2383,48.82,0.459,False,False,False,-0.1934854704254628,
SBUX,106.405,0.01020599002710032,0.07839262951142945,0.1774371533182375,0.2753506828573449,99.0127,96.8545,89.3798,74.19,0.415,True,True,True,-0.2162195211214353,
WBD,27.05,0.0,-0.0007388421865219819,-0.009882886558553738,-0.051210136096114356,27.2535,27.584,22.7406,40.12,0.327,False,False,True,-0.2616876225133803,
CDNS,340.16,0.03207017033788406,0.02183901196720983,0.22043628793168413,0.09587632200646778,309.121,297.6942,321.6666,73.68,0.292,True,True,True,-0.27977152647608566,
